nombre,capital,poblacion,idioma,divisa,continente
Maldives,Malé,540.542,Maldivian,Maldivian rufiyaa (MVR),Asia
Azerbaijan,Baku,10.110.116,Azerbaijani,Azerbaijani manat (AZN),Asia
Iraq,Baghdad,40.222.503,Arabic,Iraqi dinar (IQD),Asia
Cambodia,Phnom Penh,16.718.971,Khmer,Cambodian riel (KHR),Asia
Kuwait,Kuwait City,4.270.563,Arabic,Kuwaiti dinar (KWD),Asia
Yemen,Sana'a,29.825.968,Arabic,Yemeni rial (YER),Asia
Tajikistan,Dushanbe,9.537.642,Russian,Tajikistani somoni (TJS),Asia
Timor-Leste,Dili,1.318.442,Portuguese,United States dollar (USD),Asia
Laos,Vientiane,7.275.556,Lao,Lao kip (LAK),Asia
Syria,Damascus,17.500.657,Arabic,Syrian pound (SYP),Asia
Singapore,Singapore,5.685.807,English,Singapore dollar (SGD),Asia
Turkmenistan,Ashgabat,6.031.187,Russian,Turkmenistan manat (TMT),Asia
Bahrain,Manama,1.701.583,Arabic,Bahraini dinar (BHD),Asia
Sri Lanka,Sri Jayawardenepura Kotte,21.919.000,Sinhala,Sri Lankan rupee (LKR),Asia
Oman,Muscat,5.106.622,Arabic,Omani rial (OMR),Asia
Qatar,Doha,2.881.060,Arabic,Qatari riyal (QAR),Asia
India,New Delhi,1.380.004.385,English,Indian rupee (INR),Asia
Palestine,"Ramallah, Jerusalem",4.803.269,Arabic,Egyptian pound (EGP),Asia
Georgia,Tbilisi,3.714.000,Georgian,lari (GEL),Asia
Japan,Tokyo,125.836.021,Japanese,Japanese yen (JPY),Asia
Jordan,Amman,10.203.140,Arabic,Jordanian dinar (JOD),Asia
Malaysia,Kuala Lumpur,32.365.998,English,Malaysian ringgit (MYR),Asia
Philippines,Manila,109.581.085,English,Philippine peso (PHP),Asia
Mongolia,Ulan Bator,3.278.292,Mongolian,Mongolian tögrög (MNT),Asia
Nepal,Kathmandu,29.136.808,Nepali,Nepalese rupee (NPR),Asia
Lebanon,Beirut,6.825.442,Arabic,Lebanese pound (LBP),Asia
Myanmar,Naypyidaw,54.409.794,Burmese,Burmese kyat (MMK),Asia
Iran,Tehran,83.992.953,Persian (Farsi),Iranian rial (IRR),Asia
Israel,Jerusalem,9.216.900,Arabic,Israeli new shekel (ILS),Asia
Kyrgyzstan,Bishkek,6.591.600,Kyrgyz,Kyrgyzstani som (KGS),Asia
Vietnam,Hanoi,97.338.583,Vietnamese,Vietnamese đồng (VND),Asia
North Korea,Pyongyang,25.778.815,Korean,North Korean won (KPW),Asia
South Korea,Seoul,51.780.579,Korean,South Korean won (KRW),Asia
Armenia,Yerevan,2.963.234,Armenian,Armenian dram (AMD),Asia
Bangladesh,Dhaka,164.689.383,Bengali,Bangladeshi taka (BDT),Asia
Turkey,Ankara,84.339.067,Turkish,Turkish lira (TRY),Asia
Indonesia,Nusantara,273.523.621,Indonesian,Indonesian rupiah (IDR),Asia
China,Beijing,1.402.112.000,Chinese,Chinese yuan (CNY),Asia
Saudi Arabia,Riyadh,34.813.867,Arabic,Saudi riyal (SAR),Asia
Kazakhstan,Astana,18.754.440,Kazakh,Kazakhstani tenge (KZT),Asia
Thailand,Bangkok,69.799.978,Thai,Thai baht (THB),Asia
Bhutan,Thimphu,771.612,Dzongkha,Bhutanese ngultrum (BTN),Asia
Pakistan,Islamabad,220.892.331,English,Pakistani rupee (PKR),Asia
Hong Kong,City of Victoria,7.500.700,English,Hong Kong dollar (HKD),Asia
Afghanistan,Kabul,40.218.234,Dari,Afghan afghani (AFN),Asia
Brunei,Bandar Seri Begawan,437.483,Malay,Brunei dollar (BND),Asia
Taiwan,Taipei,23.503.349,Chinese,New Taiwan dollar (TWD),Asia
Uzbekistan,Tashkent,34.232.050,Russian,Uzbekistani soʻm (UZS),Asia
United Arab Emirates,Abu Dhabi,9.890.400,Arabic,United Arab Emirates dirham (AED),Asia
Macau,Sin capital,649.342,Portuguese,Macanese pataca (MOP),Asia
